"","GSM239371.CEL.gz","GSM239487.CEL.gz","GSM239489.CEL.gz","GSM239492.CEL.gz","GSM239497.CEL.gz","GSM239520.CEL.gz","GSM240427.CEL.gz"
"212659_s_at",248.926618716283,584.31159398174,509.631392348789,334.398263966313,452.087076781525,601.820113154632,454.415138305922
"212660_at",657.919002965003,397.115928197599,1071.99693925883,1549.68740319592,585.343402523394,526.165482508752,781.258622795525
"212661_x_at",32592.8252079257,28274.5528335027,33673.1244208749,24037.3379699999,32512.1194129169,22265.8018919652,34200.0382144733
"212662_at",77.2286933598495,152.309183984117,55.6872961404316,59.1078435799713,74.0357825765391,102.768984775765,114.424107103719
"212663_at",627.077577826176,949.461257667644,638.110372749907,864.61332999346,1665.85414374742,1427.62645231087,1299.42433474683
"212664_at",288.379686489724,136.295090211521,242.887258592129,235.618820586147,230.928626511442,134.360089457823,292.55189232052
"212665_at",3197.68279720756,1648.28560482039,2883.12869958605,2847.3479818816,913.207524202173,1148.11223026311,2897.72263429067
"212666_at",523.173978710434,445.98867332303,426.297001270244,396.104040255248,346.78411590548,300.999166255987,472.076243157535
"212667_at",61.5515344178452,70.7241981722172,144.581284367557,90.9976027089779,14.4328453503933,17.9638112241316,65.6390825754308
"212668_at",8.64204593163073,49.7675484517996,88.622309668858,25.5848316197551,23.5871693703557,14.7889245985498,33.6794861596013
"212669_at",416.943807258016,386.957461144321,764.727488480164,536.841216348333,476.974116302845,432.375925315197,469.35918957676
"212670_at",46.6874285316339,33.6249495154959,83.4490525724447,49.5126056428536,72.3741827122484,23.978182818611,50.3663627398335
"212671_s_at",304.277599440485,232.645794216571,6620.71624323877,182.215588632641,291.160136443354,3033.60475359383,7.12688525391374
"212672_at",191.277592140442,332.642179375716,216.058808178339,307.501280990639,784.550571346358,382.080257588789,130.285170671385
"212673_at",1369.21530740265,1080.09377750783,1129.82109717677,1481.72414898473,875.326096133349,1075.36912224977,1448.74240342927
"212674_s_at",561.69691049161,586.052347595695,852.602134910263,757.031592098317,924.388444448212,749.897396694275,880.262418079747
"212675_s_at",238.943954909875,271.054734466835,347.946243757116,499.420165152871,90.6909966244634,184.048251011945,191.511922951645
"212676_at",343.823987098465,129.498692410192,306.474563378985,288.544510060434,249.774761828406,100.726431312022,323.75615549346
"212677_s_at",915.006096977281,350.429461718678,637.50123285952,855.271772364706,383.579048267026,285.267875329105,443.825715383645
"212678_at",80.4127531179579,3.33470704181128,167.079610999619,138.22546677473,7.78423444725514,83.7037674146664,241.895677006891
"212679_at",139.26038814556,144.739049779434,311.148494008125,275.346404463585,284.458413217027,102.20400454316,269.573672182094
"212680_x_at",691.827727795016,1148.54680135121,875.110025022525,921.864810889209,1239.17597030523,1193.42971512186,982.26660978079
"212681_at",1.50709054176569,250.259805289351,7.93200595228393,6.81579935131381,175.898026414999,225.205914402262,44.8781106715373
"212682_s_at",311.073680378144,304.812820197578,347.604183110741,170.037707442046,91.4824118565147,683.388252285219,793.979739083475
"212683_at",286.494544239278,361.712513024068,222.166261005198,364.596733194422,534.692185747002,445.6661973426,559.863543304403
"212684_at",579.897083068896,60.0228705139774,310.940889151115,489.237765135285,45.2263575175396,155.231055440544,278.496525717188
"212685_s_at",206.87986141135,644.265077473268,313.630420405905,306.163399846685,421.145721521294,873.333578814673,387.963892491875
"212686_at",258.53680520543,9.81890858770479,67.1827884337552,389.658334578939,62.6055644861307,35.031788517422,94.9051473889351
"212687_at",1838.36861273931,1474.77415145985,1270.46968407126,2377.64067369776,1286.06437409158,1980.21949427893,748.489935713761
"212688_at",627.152845961186,513.131944015876,330.717561073234,1229.45223523235,629.319215698381,585.325573463701,586.729270576452
"212689_s_at",1074.21680304688,788.552318834794,923.190889266045,1350.80967012003,509.010214034572,606.259946488995,611.187580557067
"212690_at",682.168324179092,346.205442318894,464.374899631204,567.000330121618,556.310784896242,349.86869830269,504.073349856831
"212691_at",638.218044458745,628.961544338431,665.765817495234,700.981847774286,557.711851175497,400.658610856716,1399.29909754492
"212692_s_at",705.458909702852,244.796363511643,297.510634049388,740.304625530394,213.934370915824,255.77017909905,510.201012741412
"212693_at",811.155646563582,627.1399814425,752.440797690203,971.933917203646,565.869361184611,791.190106552021,812.96806275933
"212694_s_at",689.688776367758,1094.87423351216,591.425621147068,867.293040753199,1288.18491135778,1166.18841463264,852.726097706403
"212695_at",166.391264018248,42.1381606902963,90.5795764591249,82.6517955745662,89.4590330180656,55.228227919726,108.891082258792
